name,run,data_node,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
OPeNDAP,0,esgf.ceda.ac.uk,1000.562467098236,20710063940,33386322,1051700,489931,0,0,0,0,2
OPeNDAP,1,esgf.ceda.ac.uk,996.1309764385225,20710995088,31730613,1017970,463790,0,0,0,0,2
OPeNDAP,2,esgf.ceda.ac.uk,1164.743622303009,20707994197,31661139,1008214,463174,0,0,0,0,2
OPeNDAP,3,esgf.ceda.ac.uk,1709.6624863147736,20707959327,33740137,1023526,483941,0,0,0,0,2
OPeNDAP,4,esgf.ceda.ac.uk,1349.7040855884552,20707597424,31771616,1005741,463964,0,0,0,0,2
OPeNDAP,0,esgf.ceda.ac.uk,980.7123217582704,20708208853,32996716,1043074,483454,0,0,0,0,4
OPeNDAP,1,esgf.ceda.ac.uk,1175.9533932209015,20710105721,33235191,1028798,487345,0,0,0,0,4
OPeNDAP,0,esgf.ceda.ac.uk,1243.3554706573486,20706812400,31848942,996505,457786,0,0,0,0,8
OPeNDAP,1,esgf.ceda.ac.uk,1327.3203582763672,20706952431,32280763,1020858,472901,0,0,0,0,8
OPeNDAP,2,esgf.ceda.ac.uk,1149.1789407730103,20708627789,34400527,1039574,503817,0,0,0,0,8
OPeNDAP,0,esgf.ceda.ac.uk,1243.3554706573486,20706812400,31848942,996505,457786,0,0,0,0,8
OPeNDAP,1,esgf.ceda.ac.uk,1327.3203582763672,20706952431,32280763,1020858,472901,0,0,0,0,8
OPeNDAP,2,esgf.ceda.ac.uk,1149.1789407730105,20708627789,34400527,1039574,503817,0,0,0,0,8
OPeNDAP,0,aims3.llnl.gov,1464.9188227653503,20956961036,158723869,4192892,2393469,0,0,0,0,2
OPeNDAP,0,aims3.llnl.gov,786.6263134479523,20911151033,142069538,3591067,2141026,0,0,0,0,4
OPeNDAP,0,aims3.llnl.gov,527.2117671966553,20857979233,123954429,2912690,1864642,0,0,0,0,8
OPeNDAP,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,2
OPeNDAP,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,4
OPeNDAP,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,8
OPeNDAP,0,esgf.nci.org.au,763.2117030620575,20715010190,37363421,1106714,540279,0,0,0,0,8
OPeNDAP,1,esgf.nci.org.au,773.4920003414154,20712361362,35263168,1080726,514435,0,0,0,0,8
OPeNDAP,2,esgf.nci.org.au,822.7504181861877,20710925630,35657810,1076848,514344,0,0,0,0,8
OPeNDAP,0,esgf.nci.org.au,2638.720580101013,20707471209,33618451,1015673,473437,0,0,0,0,2
OPeNDAP,1,esgf.nci.org.au,3202.2054839134216,20711566600,38663128,1042705,494455,0,0,0,0,2
OPeNDAP,2,esgf.nci.org.au,2941.4703907966614,20712758907,39708418,1024002,485410,0,0,0,0,2
OPeNDAP,0,esgf.nci.org.au,1620.0041415691376,20714431493,35927678,1023449,486513,0,0,0,0,4
OPeNDAP,1,esgf.nci.org.au,1691.5502061843872,20707460135,34693363,1013108,476788,0,0,0,0,4
OPeNDAP,2,esgf.nci.org.au,1544.5656661987305,20706777401,33863363,1001436,473342,0,0,0,0,4
OPeNDAP,0,esgf.nci.org.au,763.2117030620575,20715010190,37363421,1106714,540279,0,0,0,0,8
OPeNDAP,1,esgf.nci.org.au,773.4920003414154,20712361362,35263168,1080726,514435,0,0,0,0,8
OPeNDAP,0,esgf.nci.org.au,822.7504181861877,20710925630,35657810,1076848,514344,0,0,0,0,8
OPeNDAP-compression,0,esgf.ceda.ac.uk,1614.3285717964172,14758102758,70480869,1613279,1048726,0,0,0,0,2
OPeNDAP-compression,1,esgf.ceda.ac.uk,1645.268676519394,14757428165,68971774,1605156,1032547,0,0,0,0,2
OPeNDAP-compression,2,esgf.ceda.ac.uk,1445.8846983909607,14759438964,70005818,1622777,1044542,0,0,0,0,2
OPeNDAP-compression,3,esgf.ceda.ac.uk,1501.9289770126345,14757969042,69810630,1613302,1044957,0,0,0,0,2
OPeNDAP-compression,4,esgf.ceda.ac.uk,1504.9411261081696,14758841365,70210220,1629108,1050957,0,0,0,0,2
OPeNDAP-compression,0,esgf.ceda.ac.uk,1015.5535926818848,14764456770,75733739,1670824,1084720,0,0,0,0,4
OPeNDAP-compression,1,esgf.ceda.ac.uk,1016.1414422988892,14761006517,72422163,1654986,1069095,0,0,0,0,4
OPeNDAP-compression,2,esgf.ceda.ac.uk,1032.4135410785675,14760777643,73414250,1652429,1082977,0,0,0,0,4
OPeNDAP-compression,3,esgf.ceda.ac.uk,1031.4173130989077,14760272140,71669959,1646787,1073023,0,0,0,0,4
OPeNDAP-compression,4,esgf.ceda.ac.uk,990.9218657016754,14761767646,72648024,1668685,1083336,0,0,0,0,4
OPeNDAP-compression,0,esgf.ceda.ac.uk,1191.6627938747406,14761717451,72541400,1664269,1084326,0,0,0,0,8
OPeNDAP-compression,1,esgf.ceda.ac.uk,1162.728217601776,14760883201,71906325,1659190,1077079,0,0,0,0,8
OPeNDAP-compression,2,esgf.ceda.ac.uk,1151.9216101169586,14761092187,72335637,1661086,1084109,0,0,0,0,8
OPeNDAP-compression,3,esgf.ceda.ac.uk,1204.879325389862,14761311172,73717932,1654418,1076280,0,0,0,0,8
OPeNDAP-compression,4,esgf.ceda.ac.uk,1173.5558996200562,14762034064,74598955,1669493,1088539,0,0,0,0,8
OPeNDAP-compression,0,aims3.llnl.gov,2534.7206296920776,14808453202,89247757,2142963,1341458,0,0,0,0,2
OPeNDAP-compression,0,aims3.llnl.gov,1277.6624057292938,14820340951,94325969,2311366,1418859,0,0,0,0,4
OPeNDAP-compression,0,aims3.llnl.gov,691.8067126274109,14837419872,99986963,2553926,1504825,0,0,0,0,8
OPeNDAP-compression,0,esgf.nci.org.au,4409.012308359146,14760247831,73801542,1626762,1059398,0,0,0,0,2
OPeNDAP-compression,0,esgf.nci.org.au,2445.0228049755096,14760339192,72765427,1648698,1089023,0,0,0,0,4
OPeNDAP-compression,0,esgf.nci.org.au,1386.150111913681,14765394704,77880904,1726671,1167836,0,0,0,0,8
OPeNDAP-compression,0,esgf.nci.org.au,3818.639481306076,14761164644,78784715,1631288,1059825,0,0,0,0,2
OPeNDAP-compression,1,esgf.nci.org.au,4839.973030328751,14761718697,78925816,1637879,1056894,0,0,0,0,2
OPeNDAP-compression,0,esgf.nci.org.au,2770.3970351219177,14760454542,72943346,1651453,1090414,0,0,0,0,4
OPeNDAP-compression,1,esgf.nci.org.au,2751.182522058487,14761788408,74373826,1666859,1096755,0,0,0,0,4
OPeNDAP-compression,0,esgf.nci.org.au,1450.6413834095001,14766388813,79238681,1740205,1176863,0,0,0,0,8
OPeNDAP-compression,1,esgf.nci.org.au,1424.3247759342194,14765656880,77993928,1729459,1167393,0,0,0,0,8
OPeNDAP-compression,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,2
OPeNDAP-compression,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,4
OPeNDAP-compression,0,esgf3.dkrz.de,0,0,0,0,0,0,0,0,0,8
